HDIM,siteKey,method,vegetation,duration,Collector,Collector2,date,startTime,endTime
HDIM5143,laupLSAG_01,beating,ohia,120 sec,A. Rominger,,4/12/15,9:00,11:00
HDIM5144,laupLSAG_02,beating,ohia,120 sec,,,,,
HDIM5145,laupLSAG_01,ground malaise,,7 days,A. Rominger,"C. Ewing, E. Armstrong",4/13/15,9:00,11:00
HDIM5146,laupLSAG_01,ground malaise,,7 days,,,,,
HDIM5147,laupLSAG_01,ground malaise,,7 days,A. Rominger,C. Ewing,4/13/15,9:00,11:00
HDIM5148,laupLSAG_02,ground malaise,,8 days,A. Rominger,C. Ewing,4/14/15,9:00,11:00
HDIM5149,laupLSAG_03,ground malaise,,9 days,A. Rominger,C. Ewing,4/15/15,9:00,11:00
HDIM5150,laupLSAG_04,ground malaise,,10 days,A. Rominger,C. Ewing,4/16/15,9:00,11:00
HDIM5151,laupLSAG_05,ground malaise,,11 days,A. Rominger,C. Ewing,4/17/15,9:00,11:00
HDIM5152,laupLSAG_06,ground malaise,,12 days,A. Rominger,C. Ewing,4/18/15,9:00,11:00
HDIM5153,laupLSAG_07,ground malaise,,13 days,A. Rominger,C. Ewing,4/19/15,9:00,11:00
HDIM5154,laupLSAG_08,ground malaise,,14 days,A. Rominger,C. Ewing,4/20/15,9:00,11:00
HDIM5155,laupLSAG_09,ground malaise,,15 days,A. Rominger,C. Ewing,4/21/15,9:00,11:00
